pilot_id,sample_year,snapshot_date,_company_key,cik,symbol,security,gics_sector,gics_sub_industry,sampling_seed,sector_population_n,sector_target_n,within_sector_random_order,selection_status,replacement_for,selection_reason
P2025-011,2025,2026-01-01,cik:0000906163,0000906163,NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,20250729,47,10,7,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-012,2025,2026-01-01,cik:0001792789,0001792789,DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,20250729,47,10,8,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-013,2025,2026-01-01,cik:0001513761,0001513761,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",20250729,47,10,9,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-014,2025,2026-01-01,cik:0000037996,0000037996,F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,20250729,47,10,10,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-015,2025,2026-01-01,cik:0000313927,0000313927,CHD,Church & Dwight,Consumer Staples,Household Products,20250729,33,7,1,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-016,2025,2026-01-01,cik:0000040704,0000040704,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,20250729,33,7,2,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-017,2025,2026-01-01,cik:0000021665,0000021665,CL,Colgate-Palmolive,Consumer Staples,Household Products,20250729,33,7,3,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-018,2025,2026-01-01,cik:0000016918,0000016918,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,20250729,33,7,4,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-019,2025,2026-01-01,cik:0000091419,0000091419,SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,20250729,33,7,5,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-020,2025,2026-01-01,cik:0000100493,0000100493,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,20250729,33,7,6,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-021,2025,2026-01-01,cik:0000104169,0000104169,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,20250729,33,7,7,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-022,2025,2026-01-01,cik:0000034088,0000034088,XOM,ExxonMobil,Energy,Integrated Oil & Gas,20250729,21,4,1,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-023,2025,2026-01-01,cik:0001539838,0001539838,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,20250729,21,4,2,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-024,2025,2026-01-01,cik:0000045012,0000045012,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,20250729,21,4,3,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-025,2025,2026-01-01,cik:0000093410,0000093410,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,20250729,21,4,4,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-026,2025,2026-01-01,cik:0001140536,0001140536,WTW,Willis Towers Watson,Financials,Insurance Brokers,20250729,74,15,1,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-027,2025,2026-01-01,cik:0001141391,0001141391,MA,Mastercard,Financials,Transaction & Payment Processing Services,20250729,74,15,2,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-028,2025,2026-01-01,cik:0000093751,0000093751,STT,State Street Corporation,Financials,Asset Management & Custody Banks,20250729,74,15,3,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-029,2025,2026-01-01,cik:0000070858,0000070858,BAC,Bank of America,Financials,Diversified Banks,20250729,74,15,4,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-030,2025,2026-01-01,cik:0000038777,0000038777,BEN,Franklin Resources,Financials,Asset Management & Custody Banks,20250729,74,15,5,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-031,2025,2026-01-01,cik:0001393818,0001393818,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,20250729,74,15,6,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-032,2025,2026-01-01,cik:0001281761,0001281761,RF,Regions Financial Corporation,Financials,Regional Banks,20250729,74,15,7,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-033,2025,2026-01-01,cik:0000895421,0000895421,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,20250729,74,15,8,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-034,2025,2026-01-01,cik:0000004977,0000004977,AFL,Aflac,Financials,Life & Health Insurance,20250729,74,15,9,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-035,2025,2026-01-01,cik:0001136893,0001136893,FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,20250729,74,15,10,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-036,2025,2026-01-01,cik:0000036270,0000036270,MTB,M&T Bank,Financials,Regional Banks,20250729,74,15,11,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-037,2025,2026-01-01,cik:0001512673,0001512673,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,20250729,74,15,12,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-038,2025,2026-01-01,cik:0002012383,0002012383,BLK,BlackRock,Financials,Asset Management & Custody Banks,20250729,74,15,13,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-039,2025,2026-01-01,cik:0000072971,0000072971,WFC,Wells Fargo,Financials,Diversified Banks,20250729,74,15,14,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-040,2025,2026-01-01,cik:0000315293,0000315293,AON,Aon plc,Financials,Insurance Brokers,20250729,74,15,15,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-041,2025,2026-01-01,cik:0001035267,0001035267,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,20250729,58,12,1,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-042,2025,2026-01-01,cik:0000313616,0000313616,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,20250729,58,12,2,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-043,2025,2026-01-01,cik:0000860730,0000860730,HCA,HCA Healthcare,Health Care,Health Care Facilities,20250729,58,12,3,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-044,2025,2026-01-01,cik:0000872589,0000872589,REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,20250729,58,12,4,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-045,2025,2026-01-01,cik:0001071739,0001071739,CNC,Centene Corporation,Health Care,Managed Health Care,20250729,58,12,5,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-046,2025,2026-01-01,cik:0001000228,0001000228,HSIC,Henry Schein,Health Care,Health Care Distributors,20250729,58,12,6,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-047,2025,2026-01-01,cik:0001000697,0001000697,WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,20250729,58,12,7,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-048,2025,2026-01-01,cik:0000731766,0000731766,UNH,UnitedHealth Group,Health Care,Managed Health Care,20250729,58,12,8,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-049,2025,2026-01-01,cik:0001555280,0001555280,ZTS,Zoetis,Health Care,Pharmaceuticals,20250729,58,12,9,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-050,2025,2026-01-01,cik:0000010456,0000010456,BAX,Baxter International,Health Care,Health Care Equipment,20250729,58,12,10,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-051,2025,2026-01-01,cik:0000842023,0000842023,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,20250729,58,12,11,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-052,2025,2026-01-01,cik:0001093557,0001093557,DXCM,Dexcom,Health Care,Health Care Equipment,20250729,58,12,12,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-053,2025,2026-01-01,cik:0000936468,0000936468,LMT,Lockheed Martin,Industrials,Aerospace & Defense,20250729,78,16,1,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-054,2025,2026-01-01,cik:0000702165,0000702165,NSC,Norfolk Southern,Industrials,Rail Transportation,20250729,78,16,2,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-055,2025,2026-01-01,cik:0000052988,0000052988,J,Jacobs Solutions,Industrials,Construction & Engineering,20250729,78,16,3,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-056,2025,2026-01-01,cik:0000105634,0000105634,EME,Emcor,Industrials,Construction & Engineering,20250729,78,16,4,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-057,2025,2026-01-01,cik:0000076334,0000076334,PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,20250729,78,16,5,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-058,2025,2026-01-01,cik:0000900075,0000900075,CPRT,Copart,Industrials,Diversified Support Services,20250729,78,16,6,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-059,2025,2026-01-01,cik:0000217346,0000217346,TXT,Textron,Industrials,Aerospace & Defense,20250729,78,16,7,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-060,2025,2026-01-01,cik:0001090727,0001090727,UPS,United Parcel Service,Industrials,Air Freight & Logistics,20250729,78,16,8,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-061,2025,2026-01-01,cik:0001048911,0001048911,FDX,FedEx,Industrials,Air Freight & Logistics,20250729,78,16,9,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-062,2025,2026-01-01,cik:0001067701,0001067701,URI,United Rentals,Industrials,Trading Companies & Distributors,20250729,78,16,10,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-063,2025,2026-01-01,cik:0001316835,0001316835,BLDR,Builders FirstSource,Industrials,Building Products,20250729,78,16,11,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-064,2025,2026-01-01,cik:0000040545,0000040545,GE,GE Aerospace,Industrials,Aerospace & Defense,20250729,78,16,12,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-065,2025,2026-01-01,cik:0001035983,0001035983,FIX,Comfort Systems USA,Industrials,Construction & Engineering,20250729,78,16,13,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-066,2025,2026-01-01,cik:0000062996,0000062996,MAS,Masco,Industrials,Building Products,20250729,78,16,14,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-067,2025,2026-01-01,cik:0001474735,0001474735,GNRC,Generac,Industrials,Heavy Electrical Equipment,20250729,78,16,15,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-068,2025,2026-01-01,cik:0000092380,0000092380,LUV,Southwest Airlines,Industrials,Passenger Airlines,20250729,78,16,16,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-069,2025,2026-01-01,cik:0001535527,0001535527,CRWD,CrowdStrike,Information Technology,Systems Software,20250729,69,14,1,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-070,2025,2026-01-01,cik:0000864749,0000864749,TRMB,Trimble Inc.,Information Technology,Application Software,20250729,69,14,2,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-071,2025,2026-01-01,cik:0000050863,0000050863,INTC,Intel,Information Technology,Semiconductors,20250729,69,14,3,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-072,2025,2026-01-01,cik:0001561550,0001561550,DDOG,Datadog,Information Technology,Application Software,20250729,69,14,4,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-073,2025,2026-01-01,cik:0000820313,0000820313,APH,Amphenol,Information Technology,Electronic Components,20250729,69,14,5,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-074,2025,2026-01-01,cik:0001645590,0001645590,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",20250729,69,14,6,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-075,2025,2026-01-01,cik:0000319201,0000319201,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,20250729,69,14,7,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-076,2025,2026-01-01,cik:0000068505,0000068505,MSI,Motorola Solutions,Information Technology,Communications Equipment,20250729,69,14,8,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-077,2025,2026-01-01,cik:0001045810,0001045810,NVDA,Nvidia,Information Technology,Semiconductors,20250729,69,14,9,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-078,2025,2026-01-01,cik:0001601046,0001601046,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,20250729,69,14,10,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-079,2025,2026-01-01,cik:0001327811,0001327811,WDAY,"Workday, Inc.",Information Technology,Application Software,20250729,69,14,11,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-080,2025,2026-01-01,cik:0001137789,0001137789,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",20250729,69,14,12,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-081,2025,2026-01-01,cik:0001262039,0001262039,FTNT,Fortinet,Information Technology,Systems Software,20250729,69,14,13,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-082,2025,2026-01-01,cik:0001467373,0001467373,ACN,Accenture,Information Technology,IT Consulting & Other Services,20250729,69,14,14,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-083,2025,2026-01-01,cik:0000916076,0000916076,MLM,Martin Marietta Materials,Materials,Construction Materials,20250729,26,5,1,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-084,2025,2026-01-01,cik:0000079879,0000079879,PPG,PPG Industries,Materials,Specialty Chemicals,20250729,26,5,2,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-085,2025,2026-01-01,cik:0001396009,0001396009,VMC,Vulcan Materials Company,Materials,Construction Materials,20250729,26,5,3,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-086,2025,2026-01-01,cik:0000009389,0000009389,BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",20250729,26,5,4,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-087,2025,2026-01-01,cik:0000849395,0000849395,CRH,CRH plc,Materials,Construction Materials,20250729,26,5,5,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-088,2025,2026-01-01,cik:0000034903,0000034903,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,20250729,31,7,1,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-089,2025,2026-01-01,cik:0001289490,0001289490,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,20250729,31,7,2,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-090,2025,2026-01-01,cik:0001297996,0001297996,DLR,Digital Realty,Real Estate,Data Center REITs,20250729,31,7,3,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-091,2025,2026-01-01,cik:0000920522,0000920522,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,20250729,31,7,4,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-092,2025,2026-01-01,cik:0001705696,0001705696,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,20250729,31,7,5,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-093,2025,2026-01-01,cik:0000074208,0000074208,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,20250729,31,7,6,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-094,2025,2026-01-01,cik:0001687229,0001687229,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,20250729,31,7,7,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-095,2025,2026-01-01,cik:0001004980,0001004980,PCG,PG&E Corporation,Utilities,Multi-Utilities,20250729,31,6,1,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-096,2025,2026-01-01,cik:0000715957,0000715957,D,Dominion Energy,Utilities,Multi-Utilities,20250729,31,6,2,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-097,2025,2026-01-01,cik:0000764622,0000764622,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,20250729,31,6,3,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-098,2025,2026-01-01,cik:0000065984,0000065984,ETR,Entergy,Utilities,Electric Utilities,20250729,31,6,4,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-099,2025,2026-01-01,cik:0001013871,0001013871,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,20250729,31,6,5,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-100,2025,2026-01-01,cik:0000788784,0000788784,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,20250729,31,6,6,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
