company_id,final_sample_id,cik,ticker,accession_number,section_code,section_name,section_order,heading_text,extraction_status,first_paragraph_order,last_paragraph_order,paragraph_count,sentence_count,word_count,character_count,analysis_text_file,warning_message
P2025-002,P2025-002,0001973266,TKO,0001193125-26-071651,item_7,Management's Discussion and Analysis,8,Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations,detected,524,751,228,473,13193,86619,2025/pilot_100/text/section_text/0001973266/0001193125-26-071651/item_7_management_discussion_and_analysis.txt,
P2025-002,P2025-002,0001973266,TKO,0001193125-26-071651,item_7a,Market Risk,9,,not_present,,,0,0,0,0,2025/pilot_100/text/section_text/0001973266/0001193125-26-071651/item_7a_market_risk.txt,
P2025-002,P2025-002,0001973266,TKO,0001193125-26-071651,item_8,Financial Statements and Supplementary Data,10,Item 8. Financial Statements and Supplementary Data,detected,752,1555,804,2658,74482,483833,2025/pilot_100/text/section_text/0001973266/0001193125-26-071651/item_8_financial_statements.txt,
P2025-003,P2025-003,0001335258,LYV,0001335258-26-000009,item_1,Business,1,ITEM 1. BUSINESS,detected,48,194,147,350,8093,52600,2025/pilot_100/text/section_text/0001335258/0001335258-26-000009/item_1_business.txt,low_heading_score
P2025-003,P2025-003,0001335258,LYV,0001335258-26-000009,item_1a,Risk Factors,2,ITEM 1A. RISK FACTORS,detected,195,358,164,373,10738,70536,2025/pilot_100/text/section_text/0001335258/0001335258-26-000009/item_1a_risk_factors.txt,
P2025-003,P2025-003,0001335258,LYV,0001335258-26-000009,item_1b,Unresolved Staff Comments,3,ITEM 1B. UNRESOLVED STAFF COMMENTS,detected,359,360,2,3,6,39,2025/pilot_100/text/section_text/0001335258/0001335258-26-000009/item_1b_unresolved_staff_comments.txt,section_too_short
P2025-003,P2025-003,0001335258,LYV,0001335258-26-000009,item_1c,Cybersecurity,4,ITEM 1C. CYBERSECURITY,detected,361,383,23,44,894,6800,2025/pilot_100/text/section_text/0001335258/0001335258-26-000009/item_1c_cybersecurity.txt,
P2025-003,P2025-003,0001335258,LYV,0001335258-26-000009,item_2,Properties,5,ITEM 2. PROPERTIES,detected,384,386,3,10,180,1145,2025/pilot_100/text/section_text/0001335258/0001335258-26-000009/item_2_properties.txt,
P2025-003,P2025-003,0001335258,LYV,0001335258-26-000009,item_3,Legal Proceedings,6,ITEM 3. LEGAL PROCEEDINGS,detected,387,389,3,5,31,244,2025/pilot_100/text/section_text/0001335258/0001335258-26-000009/item_3_legal_proceedings.txt,section_too_short
P2025-003,P2025-003,0001335258,LYV,0001335258-26-000009,item_5,Market for Registrant's Common Equity,7,"ITEM 5. MARKET FOR REGISTRANT’S COMMON EQUITY, RELATED STOCKHOLDER MATTERS AND ISSUER PURCHASES OF EQUITY SECURITIES",detected,390,399,10,18,288,1855,2025/pilot_100/text/section_text/0001335258/0001335258-26-000009/item_5_stock_market_information.txt,
P2025-003,P2025-003,0001335258,LYV,0001335258-26-000009,item_7,Management's Discussion and Analysis,8,ITEM 7. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS,detected,400,568,169,367,9102,59662,2025/pilot_100/text/section_text/0001335258/0001335258-26-000009/item_7_management_discussion_and_analysis.txt,
P2025-003,P2025-003,0001335258,LYV,0001335258-26-000009,item_7a,Market Risk,9,ITEM 7A. QUANTITATIVE AND QUALITATIVE DISCLOSURES ABOUT MARKET RISK,detected,569,570,2,3,27,205,2025/pilot_100/text/section_text/0001335258/0001335258-26-000009/item_7a_market_risk.txt,section_too_short
P2025-003,P2025-003,0001335258,LYV,0001335258-26-000009,item_8,Financial Statements and Supplementary Data,10,ITEM 8. FINANCIAL STATEMENTS AND SUPPLEMENTARY DATA,detected,571,1020,450,943,27472,173684,2025/pilot_100/text/section_text/0001335258/0001335258-26-000009/item_8_financial_statements.txt,
P2025-004,P2025-004,0001744489,DIS,0001744489-25-000155,item_1,Business,1,,not_present,,,0,0,0,0,2025/pilot_100/text/section_text/0001744489/0001744489-25-000155/item_1_business.txt,
P2025-004,P2025-004,0001744489,DIS,0001744489-25-000155,item_1a,Risk Factors,2,ITEM 1A. Risk Factors,detected,373,467,95,275,9345,62546,2025/pilot_100/text/section_text/0001744489/0001744489-25-000155/item_1a_risk_factors.txt,
P2025-004,P2025-004,0001744489,DIS,0001744489-25-000155,item_1b,Unresolved Staff Comments,3,ITEM 1B. Unresolved Staff Comments,detected,468,469,2,3,40,237,2025/pilot_100/text/section_text/0001744489/0001744489-25-000155/item_1b_unresolved_staff_comments.txt,section_too_short
P2025-004,P2025-004,0001744489,DIS,0001744489-25-000155,item_1c,Cybersecurity,4,ITEM 1C. Cybersecurity,detected,470,480,11,32,867,6365,2025/pilot_100/text/section_text/0001744489/0001744489-25-000155/item_1c_cybersecurity.txt,
P2025-004,P2025-004,0001744489,DIS,0001744489-25-000155,item_2,Properties,5,ITEM 2. Properties,detected,481,484,4,6,264,2128,2025/pilot_100/text/section_text/0001744489/0001744489-25-000155/item_2_properties.txt,
P2025-004,P2025-004,0001744489,DIS,0001744489-25-000155,item_3,Legal Proceedings,6,ITEM 3. Legal Proceedings,detected,485,498,14,39,828,5365,2025/pilot_100/text/section_text/0001744489/0001744489-25-000155/item_3_legal_proceedings.txt,
P2025-004,P2025-004,0001744489,DIS,0001744489-25-000155,item_5,Market for Registrant's Common Equity,7,"ITEM 5. Market for the Company’s Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities",detected,499,506,8,10,208,1277,2025/pilot_100/text/section_text/0001744489/0001744489-25-000155/item_5_stock_market_information.txt,
P2025-004,P2025-004,0001744489,DIS,0001744489-25-000155,item_7,Management's Discussion and Analysis,8,ITEM 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations,detected,507,871,365,526,12047,77501,2025/pilot_100/text/section_text/0001744489/0001744489-25-000155/item_7_management_discussion_and_analysis.txt,
P2025-004,P2025-004,0001744489,DIS,0001744489-25-000155,item_7a,Market Risk,9,ITEM 7A. Quantitative and Qualitative Disclosures About Market Risk,detected,872,889,18,37,853,5649,2025/pilot_100/text/section_text/0001744489/0001744489-25-000155/item_7a_market_risk.txt,
P2025-004,P2025-004,0001744489,DIS,0001744489-25-000155,item_8,Financial Statements and Supplementary Data,10,ITEM 8. Financial Statements and Supplementary Data,detected,890,1587,698,1186,31851,197526,2025/pilot_100/text/section_text/0001744489/0001744489-25-000155/item_8_financial_statements.txt,
P2025-005,P2025-005,0001065088,EBAY,0001065088-26-000027,item_1,Business,1,ITEM 1: BUSINESS,detected,71,136,66,172,4216,28864,2025/pilot_100/text/section_text/0001065088/0001065088-26-000027/item_1_business.txt,low_heading_score
P2025-005,P2025-005,0001065088,EBAY,0001065088-26-000027,item_1a,Risk Factors,2,Item 1A: RISK FACTORS,detected,137,387,251,550,15739,104799,2025/pilot_100/text/section_text/0001065088/0001065088-26-000027/item_1a_risk_factors.txt,
P2025-005,P2025-005,0001065088,EBAY,0001065088-26-000027,item_1b,Unresolved Staff Comments,3,ITEM 1B: UNRESOLVED STAFF COMMENTS,detected,388,389,2,2,7,49,2025/pilot_100/text/section_text/0001065088/0001065088-26-000027/item_1b_unresolved_staff_comments.txt,section_too_short
P2025-005,P2025-005,0001065088,EBAY,0001065088-26-000027,item_1c,Cybersecurity,4,ITEM 1C: CYBERSECURITY,detected,390,399,10,34,1129,7818,2025/pilot_100/text/section_text/0001065088/0001065088-26-000027/item_1c_cybersecurity.txt,
P2025-005,P2025-005,0001065088,EBAY,0001065088-26-000027,item_2,Properties,5,ITEM 2: PROPERTIES,detected,400,403,4,9,160,1021,2025/pilot_100/text/section_text/0001065088/0001065088-26-000027/item_2_properties.txt,
P2025-005,P2025-005,0001065088,EBAY,0001065088-26-000027,item_3,Legal Proceedings,6,ITEM 3: LEGAL PROCEEDINGS,detected,404,408,5,5,53,330,2025/pilot_100/text/section_text/0001065088/0001065088-26-000027/item_3_legal_proceedings.txt,
P2025-005,P2025-005,0001065088,EBAY,0001065088-26-000027,item_5,Market for Registrant's Common Equity,7,"ITEM 5: MARKET FOR REGISTRANT’S COMMON EQUITY, RELATED STOCKHOLDER MATTERS AND ISSUER PURCHASES OF EQUITY SECURITIES",detected,409,425,17,26,691,4481,2025/pilot_100/text/section_text/0001065088/0001065088-26-000027/item_5_stock_market_information.txt,
P2025-005,P2025-005,0001065088,EBAY,0001065088-26-000027,item_7,Management's Discussion and Analysis,8,ITEM 7: MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS,detected,426,588,163,310,7905,51185,2025/pilot_100/text/section_text/0001065088/0001065088-26-000027/item_7_management_discussion_and_analysis.txt,
P2025-005,P2025-005,0001065088,EBAY,0001065088-26-000027,item_7a,Market Risk,9,ITEM 7A: QUANTITATIVE AND QUALITATIVE DISCLOSURES ABOUT MARKET RISK,detected,589,608,20,49,1284,8498,2025/pilot_100/text/section_text/0001065088/0001065088-26-000027/item_7a_market_risk.txt,
P2025-005,P2025-005,0001065088,EBAY,0001065088-26-000027,item_8,Financial Statements and Supplementary Data,10,ITEM 8: FINANCIAL STATEMENTS AND SUPPLEMENTARY DATA,detected,609,1156,548,1044,25710,162542,2025/pilot_100/text/section_text/0001065088/0001065088-26-000027/item_8_financial_statements.txt,
P2025-006,P2025-006,0000815097,CCL,0000815097-26-000007,item_1,Business,1,Item 1. Business .,detected,62,300,239,530,10298,68956,2025/pilot_100/text/section_text/0000815097/0000815097-26-000007/item_1_business.txt,
P2025-006,P2025-006,0000815097,CCL,0000815097-26-000007,item_1a,Risk Factors,2,Item 1A. Risk Factors .,detected,301,349,49,160,4428,29318,2025/pilot_100/text/section_text/0000815097/0000815097-26-000007/item_1a_risk_factors.txt,
P2025-006,P2025-006,0000815097,CCL,0000815097-26-000007,item_1b,Unresolved Staff Comments,3,Item 1B. Unresolved Staff Comments .,detected,350,351,2,3,7,41,2025/pilot_100/text/section_text/0000815097/0000815097-26-000007/item_1b_unresolved_staff_comments.txt,section_too_short
P2025-006,P2025-006,0000815097,CCL,0000815097-26-000007,item_1c,Cybersecurity,4,Item 1C. Cybersecurity .,detected,352,365,14,40,1044,7460,2025/pilot_100/text/section_text/0000815097/0000815097-26-000007/item_1c_cybersecurity.txt,
P2025-006,P2025-006,0000815097,CCL,0000815097-26-000007,item_2,Properties,5,Item 2. Properties .,detected,366,368,3,8,119,773,2025/pilot_100/text/section_text/0000815097/0000815097-26-000007/item_2_properties.txt,
P2025-006,P2025-006,0000815097,CCL,0000815097-26-000007,item_3,Legal Proceedings,6,Item 3. Legal Proceedings .,detected,369,375,7,17,252,1678,2025/pilot_100/text/section_text/0000815097/0000815097-26-000007/item_3_legal_proceedings.txt,
P2025-006,P2025-006,0000815097,CCL,0000815097-26-000007,item_5,Market for Registrant's Common Equity,7,"Item 5. Market for Registrants’ Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities .",detected,376,399,24,42,891,5096,2025/pilot_100/text/section_text/0000815097/0000815097-26-000007/item_5_stock_market_information.txt,
P2025-006,P2025-006,0000815097,CCL,0000815097-26-000007,item_7,Management's Discussion and Analysis,8,Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations .,detected,400,593,194,276,5144,32413,2025/pilot_100/text/section_text/0000815097/0000815097-26-000007/item_7_management_discussion_and_analysis.txt,
P2025-006,P2025-006,0000815097,CCL,0000815097-26-000007,item_7a,Market Risk,9,Item 7A. Quantitative and Qualitative Disclosures About Market Risk .,detected,594,608,15,21,354,2195,2025/pilot_100/text/section_text/0000815097/0000815097-26-000007/item_7a_market_risk.txt,
P2025-006,P2025-006,0000815097,CCL,0000815097-26-000007,item_8,Financial Statements and Supplementary Data,10,Item 8. Financial Statements and Supplementary Data .,detected,609,1088,480,882,21562,135575,2025/pilot_100/text/section_text/0000815097/0000815097-26-000007/item_8_financial_statements.txt,
P2025-007,P2025-007,0001121788,GRMN,0001193125-26-056028,item_1,Business,1,Item 1. Business,detected,42,142,101,246,5671,40855,2025/pilot_100/text/section_text/0001121788/0001193125-26-056028/item_1_business.txt,low_heading_score
P2025-007,P2025-007,0001121788,GRMN,0001193125-26-056028,item_1a,Risk Factors,2,Item 1A. Ri sk Factors,detected,143,281,139,356,9436,63413,2025/pilot_100/text/section_text/0001121788/0001193125-26-056028/item_1a_risk_factors.txt,
P2025-007,P2025-007,0001121788,GRMN,0001193125-26-056028,item_1b,Unresolved Staff Comments,3,Item 1B. Unresolv ed Staff Comments,detected,282,284,3,10,220,1734,2025/pilot_100/text/section_text/0001121788/0001193125-26-056028/item_1b_unresolved_staff_comments.txt,
P2025-007,P2025-007,0001121788,GRMN,0001193125-26-056028,item_1c,Cybersecurity,4,Item 1C. Cybersecurity,detected,285,307,23,72,2058,14916,2025/pilot_100/text/section_text/0001121788/0001193125-26-056028/item_1c_cybersecurity.txt,
P2025-007,P2025-007,0001121788,GRMN,0001193125-26-056028,item_2,Properties,5,Item 2. P roperties,detected,308,310,3,8,203,1430,2025/pilot_100/text/section_text/0001121788/0001193125-26-056028/item_2_properties.txt,
P2025-007,P2025-007,0001121788,GRMN,0001193125-26-056028,item_3,Legal Proceedings,6,Item 3. Legal Proceedings,detected,311,333,23,75,1006,6410,2025/pilot_100/text/section_text/0001121788/0001193125-26-056028/item_3_legal_proceedings.txt,
P2025-007,P2025-007,0001121788,GRMN,0001193125-26-056028,item_5,Market for Registrant's Common Equity,7,"Item 5. Market for the Company’s Common Shares, Related Sha reholder Matters and Issuer Purchases of Equity Securities",detected,334,350,17,33,846,5235,2025/pilot_100/text/section_text/0001121788/0001193125-26-056028/item_5_stock_market_information.txt,
P2025-007,P2025-007,0001121788,GRMN,0001193125-26-056028,item_7,Management's Discussion and Analysis,8,Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations,detected,351,440,90,175,4502,28548,2025/pilot_100/text/section_text/0001121788/0001193125-26-056028/item_7_management_discussion_and_analysis.txt,
P2025-007,P2025-007,0001121788,GRMN,0001193125-26-056028,item_7a,Market Risk,9,Item 7A. Quantitative and Qualitat ive Disclosures About Market Risk,detected,441,456,16,39,849,5545,2025/pilot_100/text/section_text/0001121788/0001193125-26-056028/item_7a_market_risk.txt,
P2025-007,P2025-007,0001121788,GRMN,0001193125-26-056028,item_8,Financial Statements and Supplementary Data,10,Item 8. Financial Statemen ts and Supplementary Data,detected,457,858,402,1226,34168,220435,2025/pilot_100/text/section_text/0001121788/0001193125-26-056028/item_8_financial_statements.txt,
P2025-008,P2025-008,0001403568,ULTA,0001558370-25-003810,item_1,Business,1,Item 1. Business,detected,59,176,118,317,6912,46323,2025/pilot_100/text/section_text/0001403568/0001558370-25-003810/item_1_business.txt,
P2025-008,P2025-008,0001403568,ULTA,0001558370-25-003810,item_1a,Risk Factors,2,Item 1A. Risk Factor s,detected,177,285,109,246,7578,50521,2025/pilot_100/text/section_text/0001403568/0001558370-25-003810/item_1a_risk_factors.txt,
P2025-008,P2025-008,0001403568,ULTA,0001558370-25-003810,item_1b,Unresolved Staff Comments,3,Item 1B. Unresolved Staff Comments,detected,286,287,2,3,6,39,2025/pilot_100/text/section_text/0001403568/0001558370-25-003810/item_1b_unresolved_staff_comments.txt,section_too_short
P2025-008,P2025-008,0001403568,ULTA,0001558370-25-003810,item_1c,Cybersecurity,4,Item 1C. Cybersecurity,detected,288,304,17,46,1215,8830,2025/pilot_100/text/section_text/0001403568/0001558370-25-003810/item_1c_cybersecurity.txt,
P2025-008,P2025-008,0001403568,ULTA,0001558370-25-003810,item_2,Properties,5,Item 2. Properties,detected,305,315,11,19,434,2738,2025/pilot_100/text/section_text/0001403568/0001558370-25-003810/item_2_properties.txt,
P2025-008,P2025-008,0001403568,ULTA,0001558370-25-003810,item_3,Legal Proceedings,6,Item 3. Legal Proceedings,detected,316,329,14,50,793,5219,2025/pilot_100/text/section_text/0001403568/0001558370-25-003810/item_3_legal_proceedings.txt,
P2025-008,P2025-008,0001403568,ULTA,0001558370-25-003810,item_5,Market for Registrant's Common Equity,7,"Item 5. Market for Registrant’s Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities",detected,330,354,25,33,836,5325,2025/pilot_100/text/section_text/0001403568/0001558370-25-003810/item_5_stock_market_information.txt,
P2025-008,P2025-008,0001403568,ULTA,0001558370-25-003810,item_7,Management's Discussion and Analysis,8,Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations,detected,355,525,171,294,6234,40139,2025/pilot_100/text/section_text/0001403568/0001558370-25-003810/item_7_management_discussion_and_analysis.txt,
P2025-008,P2025-008,0001403568,ULTA,0001558370-25-003810,item_7a,Market Risk,9,Item 7A. Quantitative and Qualitative Disclosures about Market Risk,detected,526,529,4,10,117,729,2025/pilot_100/text/section_text/0001403568/0001558370-25-003810/item_7a_market_risk.txt,
P2025-008,P2025-008,0001403568,ULTA,0001558370-25-003810,item_8,Financial Statements and Supplementary Data,10,Item 8. Financial Statements and Supplementary Data,detected,530,864,335,759,18069,116915,2025/pilot_100/text/section_text/0001403568/0001558370-25-003810/item_8_financial_statements.txt,
P2025-009,P2025-009,0001286681,DPZ,0001193125-26-062321,item_1,Business,1,Item 1. Business.,detected,43,157,115,329,7012,46344,2025/pilot_100/text/section_text/0001286681/0001193125-26-062321/item_1_business.txt,
P2025-009,P2025-009,0001286681,DPZ,0001193125-26-062321,item_1a,Risk Factors,2,Item 1A. Risk F actors.,detected,158,322,165,398,11842,77629,2025/pilot_100/text/section_text/0001286681/0001193125-26-062321/item_1a_risk_factors.txt,
P2025-009,P2025-009,0001286681,DPZ,0001193125-26-062321,item_1b,Unresolved Staff Comments,3,Item 1B. Unres olved Staff Comments.,detected,323,325,3,19,557,4056,2025/pilot_100/text/section_text/0001286681/0001193125-26-062321/item_1b_unresolved_staff_comments.txt,
P2025-009,P2025-009,0001286681,DPZ,0001193125-26-062321,item_1c,Cybersecurity,4,Item 1C. Cybersecurity.,detected,326,339,14,62,2536,18058,2025/pilot_100/text/section_text/0001286681/0001193125-26-062321/item_1c_cybersecurity.txt,
P2025-009,P2025-009,0001286681,DPZ,0001193125-26-062321,item_2,Properties,5,Item 2. Propert ies.,detected,340,342,3,9,152,977,2025/pilot_100/text/section_text/0001286681/0001193125-26-062321/item_2_properties.txt,
P2025-009,P2025-009,0001286681,DPZ,0001193125-26-062321,item_3,Legal Proceedings,6,Item 3. Legal Proceedings .,detected,343,350,8,16,199,1299,2025/pilot_100/text/section_text/0001286681/0001193125-26-062321/item_3_legal_proceedings.txt,
P2025-009,P2025-009,0001286681,DPZ,0001193125-26-062321,item_5,Market for Registrant's Common Equity,7,"Item 5. Market for Registrant’s Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities.",detected,351,360,10,20,560,3480,2025/pilot_100/text/section_text/0001286681/0001193125-26-062321/item_5_stock_market_information.txt,
P2025-009,P2025-009,0001286681,DPZ,0001193125-26-062321,item_7,Management's Discussion and Analysis,8,Item 7. Management ’ s Discussion and Analysis of Financial Condition and Results of Operations.,detected,361,562,202,396,9590,61966,2025/pilot_100/text/section_text/0001286681/0001193125-26-062321/item_7_management_discussion_and_analysis.txt,
P2025-009,P2025-009,0001286681,DPZ,0001193125-26-062321,item_7a,Market Risk,9,Item 7A. Qua ntitative and Qualitative Disclosures About Market Risk.,detected,563,570,8,21,485,3089,2025/pilot_100/text/section_text/0001286681/0001193125-26-062321/item_7a_market_risk.txt,
P2025-009,P2025-009,0001286681,DPZ,0001193125-26-062321,item_8,Financial Statements and Supplementary Data,10,Item 8. Financial S tatements and Supplementary Data.,detected,571,1047,477,1460,41183,266424,2025/pilot_100/text/section_text/0001286681/0001193125-26-062321/item_8_financial_statements.txt,
P2025-010,P2025-010,0000109198,TJX,0000109198-25-000010,item_1,Business,1,ITEM 1. Business,detected,37,95,59,188,3738,24687,2025/pilot_100/text/section_text/0000109198/0000109198-25-000010/item_1_business.txt,low_heading_score
P2025-010,P2025-010,0000109198,TJX,0000109198-25-000010,item_1a,Risk Factors,2,ITEM 1A. Risk Factors,detected,96,211,116,299,10120,68593,2025/pilot_100/text/section_text/0000109198/0000109198-25-000010/item_1a_risk_factors.txt,
P2025-010,P2025-010,0000109198,TJX,0000109198-25-000010,item_1b,Unresolved Staff Comments,3,ITEM 1B. Unresolved Staff Comments,detected,212,213,2,3,6,39,2025/pilot_100/text/section_text/0000109198/0000109198-25-000010/item_1b_unresolved_staff_comments.txt,section_too_short
P2025-010,P2025-010,0000109198,TJX,0000109198-25-000010,item_1c,Cybersecurity,4,ITEM 1C. Cybersecurity,detected,214,225,12,29,828,5833,2025/pilot_100/text/section_text/0000109198/0000109198-25-000010/item_1c_cybersecurity.txt,
P2025-010,P2025-010,0000109198,TJX,0000109198-25-000010,item_2,Properties,5,ITEM 2. Properties,detected,226,238,13,22,695,3398,2025/pilot_100/text/section_text/0000109198/0000109198-25-000010/item_2_properties.txt,
P2025-010,P2025-010,0000109198,TJX,0000109198-25-000010,item_3,Legal Proceedings,6,ITEM 3. Legal Proceedings,detected,239,243,5,7,34,250,2025/pilot_100/text/section_text/0000109198/0000109198-25-000010/item_3_legal_proceedings.txt,section_too_short
P2025-010,P2025-010,0000109198,TJX,0000109198-25-000010,item_5,Market for Registrant's Common Equity,7,"ITEM 5. Market for the Registrant’s Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities",detected,244,252,9,12,214,1380,2025/pilot_100/text/section_text/0000109198/0000109198-25-000010/item_5_stock_market_information.txt,
P2025-010,P2025-010,0000109198,TJX,0000109198-25-000010,item_7,Management's Discussion and Analysis,8,ITEM 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations,detected,253,397,145,269,6366,39984,2025/pilot_100/text/section_text/0000109198/0000109198-25-000010/item_7_management_discussion_and_analysis.txt,
P2025-010,P2025-010,0000109198,TJX,0000109198-25-000010,item_7a,Market Risk,9,ITEM 7A. Quantitative and Qualitative Disclosure about Market Risk,detected,398,403,6,20,407,2720,2025/pilot_100/text/section_text/0000109198/0000109198-25-000010/item_7a_market_risk.txt,
P2025-010,P2025-010,0000109198,TJX,0000109198-25-000010,item_8,Financial Statements and Supplementary Data,10,ITEM 8. Financial Statements and Supplementary Data,detected,404,773,370,719,20364,124929,2025/pilot_100/text/section_text/0000109198/0000109198-25-000010/item_8_financial_statements.txt,
P2025-011,P2025-011,0000906163,NVR,0000906163-26-000018,item_1,Business,1,Item 1. Business.,detected,43,87,45,129,2796,18637,2025/pilot_100/text/section_text/0000906163/0000906163-26-000018/item_1_business.txt,
P2025-011,P2025-011,0000906163,NVR,0000906163-26-000018,item_1a,Risk Factors,2,Item 1A. Risk Factors.,detected,88,160,73,164,4086,26936,2025/pilot_100/text/section_text/0000906163/0000906163-26-000018/item_1a_risk_factors.txt,
